# Device Stress E2E Report
Date: 2026-07-06 12:18:26
Device: 46349770

| Test | Result | Notes |
|------|--------|-------|
| Skip onboarding | PASS |  |
| Locker verify (KING) | FAIL | no playable locker bytes for KING |
| Locker download (KING) | PASS |  |
| Locker verify after download (KING) | PASS |  |
| Locker play (KING offline) | PASS | content:// locker path |
| Locker native URI (KING) | PASS |  |
| Playlist download: FRIED | PASS |  |
| Playlist probe: FRIED | PASS | 07-06 12:14:21.608 27503 27503 I Capacitor/Console: File: https://localhost/assets/e2e-bridge-BzW_QZTA.js - Line 2 - Msg: [SandboxE2E] AREA=probe-playlist-track RESULT=PASS playlist=God Mode track=Fried artist=┬Ñ$ provider=local-vault sourceId=locker-1783294706159-0bqhye lockerId=locker-1783336458697-ofhh9y playable=true envelopeId=local-locker-1783294706159-0bqhye |
| Playlist play: FRIED | PASS | offline playlist path |
| Playlist download: THE HERETIC ANTHEM | PASS |  |
| Playlist probe: THE HERETIC ANTHEM | PASS | 07-06 12:15:02.527 27503 27503 I Capacitor/Console: File: https://localhost/assets/e2e-bridge-BzW_QZTA.js - Line 2 - Msg: [SandboxE2E] AREA=probe-playlist-track RESULT=PASS playlist=God Mode track=The Heretic Anthem artist=Slipknot provider=local-vault sourceId=locker-1783295000582-bqntkh lockerId=locker-1783336498726-de3fxx playable=true envelopeId=local-locker-1783295000582-bqntkh |
| Playlist play: THE HERETIC ANTHEM | FAIL | play failed |
| yt-dlp mobile | PASS |  |
| Stale track no retry loop | PASS |  |
| Stale track no blob WebView error | PASS | expected fail without blob is OK |

## Overall: FAIL (2 failures)
