06-13 20:49:37.466  3480  3580 E QosSceneRecognizer[ActivityStartScene]: notifyActivityStart get launchedFromUid failed through AppManager! launchedFromPackage: com.android.shell, pkg: rd.sheepskin.sandboxmusic
06-13 20:49:37.543  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.546  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.602  3480  3580 W QosScheduler: executeSceneQosStrategy failed! qos feature no enable
06-13 20:49:37.643  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.644  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.648  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.725  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.727  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:37.728  3480  3480 I OplusMediaControlService: updataPlayStateMap begin
06-13 20:49:41.582  3480  3770 I AppsFilter: interaction: PackageSetting{8c0c61b com.android.microdroid.empty_payload/10275} -> PackageSetting{56d693a com.oplus.ndsf/10114} BLOCKED
06-13 20:49:47.889  3480  3580 W QosScheduler: executeSceneQosStrategy failed! qos feature no enable
06-13 20:50:11.646  3480  3770 I AppsFilter: interaction: PackageSetting{8c0c61b com.android.microdroid.empty_payload/10275} -> PackageSetting{ad05bef com.oplus.ndsf/10114} BLOCKED
06-13 20:50:12.477 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:12.716 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589308, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:12.717 27331  7911 V Capacitor: callback: 72589308, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:12.724 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:12.768  3250  4158 E msys    : E[N mns:DGWClient]_LogError(280)=>Failed to resolve using system DNS resolver, getaddrinfo(): No address associated with hostname
06-13 20:50:12.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589309, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:12.967 27331  7911 V Capacitor: callback: 72589309, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:12.978 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:13.146  2138  2762 E HwcComposer: getLuts failed Status(-129, EX_TRANSACTION_FAILED): 'UNKNOWN_TRANSACTION: '
06-13 20:50:13.217 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589310, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:13.217 27331  7911 V Capacitor: callback: 72589310, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
